iter	MultiClass
0	0.6387664086
1	0.5938431613
2	0.5566006968
3	0.5250763286
4	0.4983632864
5	0.4756057642
6	0.4558639804
7	0.4385789561
8	0.4231709988
9	0.4098121908
10	0.3982172389
11	0.3882497678
12	0.3789637148
13	0.3708162287
14	0.3636160733
15	0.3573135374
16	0.3516022073
17	0.3467485917
18	0.3424286706
19	0.338477224
20	0.3350562495
21	0.3320712785
22	0.3293634098
23	0.3269309502
24	0.3246673695
25	0.3226907743
26	0.3207737852
27	0.3191557134
28	0.3176804236
29	0.3162850597
30	0.3150033777
31	0.313989919
32	0.313090209
33	0.3121065751
34	0.3112981249
35	0.3104997337
36	0.3097502343
37	0.3092789743
38	0.3086735653
39	0.3082455897
40	0.307861591
41	0.3073765796
42	0.3069869772
43	0.3067523529
44	0.3063094847
45	0.306069669
46	0.3057574666
47	0.3054752227
48	0.3052907596
49	0.3051104939
50	0.3049816731
51	0.3048221881
52	0.3047046079
53	0.3045523405
54	0.3044140363
55	0.3042229717
56	0.3040522019
57	0.3039447224
58	0.3038763325
59	0.3037246537
60	0.3036375462
61	0.3035108981
62	0.3034031165
63	0.3032745312
64	0.3031936199
65	0.303151846
66	0.3030465162
67	0.302999265
68	0.3029336566
69	0.3028231072
70	0.3027652193
71	0.3027138335
72	0.3026289965
73	0.3025403042
74	0.3025137433
75	0.302401665
76	0.3023371299
77	0.3022581442
78	0.3022251477
79	0.3021684714
80	0.3020961546
81	0.3020690169
82	0.3020114373
83	0.3019842888
84	0.3019340072
85	0.3019058182
86	0.3018457856
87	0.3018008472
88	0.3017662315
89	0.3017239202
90	0.3016915348
91	0.3016381797
92	0.3016085731
93	0.301550526
94	0.3015150688
95	0.3014528763
96	0.3014302158
97	0.3014046053
98	0.3013762174
99	0.3013311634
