iter	Passed	Remaining
0	46	4650
1	89	4372
2	132	4287
3	176	4240
4	219	4170
5	264	4143
6	308	4095
7	353	4066
8	400	4053
9	446	4022
10	493	3992
11	536	3931
12	583	3904
13	627	3852
14	668	3789
15	713	3746
16	758	3704
17	802	3655
18	844	3600
19	886	3546
20	931	3503
21	975	3459
22	1024	3429
23	1070	3388
24	1113	3341
25	1159	3300
26	1205	3258
27	1246	3206
28	1292	3163
29	1333	3111
30	1375	3062
31	1419	3016
32	1461	2968
33	1505	2923
34	1550	2879
35	1589	2826
36	1632	2779
37	1675	2733
38	1718	2687
39	1761	2642
40	1807	2600
41	1847	2551
42	1890	2506
43	1934	2462
44	1978	2418
45	2023	2375
46	2065	2329
47	2107	2283
48	2152	2240
49	2198	2198
50	2244	2156
51	2282	2107
52	2322	2059
53	2359	2009
54	2403	1966
55	2449	1924
56	2495	1882
57	2535	1836
58	2578	1791
59	2618	1745
60	2662	1702
61	2703	1656
62	2743	1611
63	2788	1568
64	2829	1523
65	2867	1477
66	2908	1432
67	2950	1388
68	2991	1344
69	3034	1300
70	3076	1256
71	3118	1212
72	3161	1169
73	3210	1127
74	3254	1084
75	3298	1041
76	3339	997
77	3385	955
78	3423	910
79	3465	866
80	3506	822
81	3544	778
82	3587	734
83	3631	691
84	3675	648
85	3715	604
86	3755	561
87	3798	517
88	3838	474
89	3876	430
90	3918	387
91	3960	344
92	4006	301
93	4053	258
94	4090	215
95	4135	172
96	4181	129
97	4219	86
98	4260	43
99	4304	0
